"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Georgia","acafly","Acadian Flycatcher","Empidonax virescens",5.12,6.75,0,6.78,"postbreeding_migration","09-27",14.36,"10 of 32","Forests:  Temperate Eastern",NA
"Georgia","ameavo","American Avocet","Recurvirostra americana",0.01,0.01,0.1,0.04,"prebreeding_migration","02-08",0.2528,"22 of 22","Wetlands:  Freshwater Marsh",NA
"Georgia","amebit","American Bittern","Botaurus lentiginosus",0,1.59,2.63,0.33,"prebreeding_migration","03-01",20.75,NA,"Wetlands:  Freshwater Marsh",NA
"Georgia","amecro","American Crow","Corvus brachyrhynchos",2.6,1.84,1.89,1.58,"breeding","05-31",3.093,"6 of 49","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Georgia","amegfi","American Goldfinch","Spinus tristis",0.87,1.16,2.51,1.54,"nonbreeding","02-08",3.021,"26 of 45","Open Country:  Habitat Mosaic",NA
"Georgia","amekes","American Kestrel","Falco sparverius",0.01,0.32,0.62,0.17,"nonbreeding","11-22",0.754,"44 of 44","Open Country:  Habitat Mosaic",NA
"Georgia","ameoys","American Oystercatcher","Haematopus palliatus",0.66,1.35,2.09,0.75,"nonbreeding","01-18",2.991,"9 of 17","Coasts:  Beach and Estuary",NA
"Georgia","amepip","American Pipit","Anthus rubescens",0,0.12,3.1,0.09,"nonbreeding","12-20",4.568,NA,"Tundra:  Alpine","Tundra:  Arctic"
"Georgia","amered","American Redstart","Setophaga ruticilla",0.01,1.48,0,0.67,"postbreeding_migration","10-04",6.507,"36 of 36","Forests:  Temperate Generalist",NA
"Georgia","amerob","American Robin","Turdus migratorius",0.17,0.82,2.52,1.15,"prebreeding_migration","02-15",4.002,"41 of 48","Forests:  Temperate Generalist",NA
"Georgia","amewig","American Wigeon","Mareca americana",0,0,0.01,0,"nonbreeding","12-20",0.01341,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Georgia","amewoo","American Woodcock","Scolopax minor",0,0.38,9.95,0.41,"nonbreeding","01-11",14.3,NA,"Forests:  Temperate Eastern","Forests:  Boreal"
